id,Symbol,Name
56,ACER,Acer Therapeutics Inc. Common Stock (DE)
57,ACET,Adicet Bio Inc. Common Stock 
58,ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares
59,ACEVW,ACE Convergence Acquisition Corp. Warrant
60,ACGL,Arch Capital Group Ltd. Common Stock
61,ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G
62,ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F
63,ACH,Aluminum Corporation of China Limited American Depositary Shares
64,ACHC,Acadia Healthcare Company Inc. Common Stock
65,ACHL,Achilles Therapeutics plc American Depositary Shares
66,ACHR,Archer Aviation Inc. Class A Common Stock
67,ACHV,Achieve Life Sciences Inc. Common Shares
68,ACI,Albertsons Companies Inc. Class A Common Stock
69,ACII,Atlas Crest Investment Corp. II Class A Common Stock
70,ACIU,AC Immune SA Common Stock
71,ACIW,ACI Worldwide Inc. Common Stock
72,ACKIT,Ackrell SPAC Partners I Co. Subunits
73,ACLS,Axcelis Technologies Inc. Common Stock
74,ACLX,Arcellx Inc. Common Stock
75,ACM,AECOM Common Stock
76,ACMR,ACM Research Inc. Class A Common Stock
77,ACN,Accenture plc Class A Ordinary Shares (Ireland)
78,ACNB,ACNB Corporation Common Stock
79,ACON,Aclarion Inc. Common Stock
80,ACOR,Acorda Therapeutics Inc. Common Stock
81,ACP,abrdn Income Credit Strategies Fund Common Shares
82,ACQR,Independence Holdings Corp. Class A Ordinary Share
83,ACQRU,Independence Holdings Corp. Units
84,ACR,ACRES Commercial Realty Corp. Common Stock
85,ACRE,Ares Commercial Real Estate Corporation Common Stock
86,ACRS,Aclaris Therapeutics Inc. Common Stock
87,ACRX,AcelRx Pharmaceuticals Inc. Common Stock
88,ACST,Acasti Pharma Inc. Class A Common Stock
89,ACT,Enact Holdings Inc. Common Stock
90,ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share
91,ACTDW,ArcLight Clean Transition Corp. II Warrant
92,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock
93,ACU,Acme United Corporation. Common Stock
94,ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest
95,ACVA,ACV Auctions Inc. Class A Common Stock
96,ACXP,Acurx Pharmaceuticals Inc. Common Stock
97,ADAG,Adagene Inc. American Depositary Shares
98,ADALW,Anthemis Digital Acquisitions I Corp Warrant
99,ADAP,Adaptimmune Therapeutics plc American Depositary Shares
100,ADBE,Adobe Inc. Common Stock
101,ADC,Agree Realty Corporation Common Stock
102,ADCT,ADC Therapeutics SA Common Shares
103,ADER,26 Capital Acquisition Corp. Class A Common Stock
104,ADES,Advanced Emissions Solutions Inc. Common Stock
105,ADEX,Adit EdTech Acquisition Corp. Common Stock
106,ADGI,Adagio Therapeutics Inc. Common Stock
107,ADI,Analog Devices Inc. Common Stock
108,ADIL,Adial Pharmaceuticals Inc Common Stock
109,ADM,Archer-Daniels-Midland Company Common Stock
110,ADMA,ADMA Biologics Inc Common Stock
111,ADMP,Adamis Pharmaceuticals Corporation Common Stock
112,ADN,Advent Technologies Holdings Inc. Class A Common Stock
113,ADNT,Adient plc Ordinary Shares 
114,ADNWW,Advent Technologies Holdings Inc. Warrant
115,ADP,Automatic Data Processing Inc. Common Stock
116,ADPT,Adaptive Biotechnologies Corporation Common Stock
117,ADRA,Adara Acquisition Corp. Class A Common Stock
118,ADRT,Ault Disruptive Technologies Corporation Common Stock
119,ADSE,ADS-TEC ENERGY PLC Ordinary Shares
120,ADSEW,ADS-TEC ENERGY PLC Warrant
121,ADSK,Autodesk Inc. Common Stock
122,ADT,ADT Inc. Common Stock
123,ADTH,AdTheorent Holding Company Inc. Common Stock
124,ADTN,ADTRAN Inc. Common Stock
125,ADTX,Aditxt Inc. Common Stock
126,ADUS,Addus HomeCare Corporation Common Stock
127,ADV,Advantage Solutions Inc. Class A Common Stock
128,ADVM,Adverum Biotechnologies Inc. Common Stock
129,ADX,Adams Diversified Equity Fund Inc.
130,ADXN,Addex Therapeutics Ltd American Depositary Shares
131,AE,Adams Resources & Energy Inc. Common Stock
132,AEAC,Authentic Equity Acquisition Corp. Class A ordinary share
133,AEACW,Authentic Equity Acquisition Corp. Warrant
134,AEAE,AltEnergy Acquisition Corp. Class A Common Stock
135,AEAEW,AltEnergy Acquisition Corp. Warrant
136,AEE,Ameren Corporation Common Stock
137,AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock
138,AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
139,AEG,AEGON N.V. Common Stock
140,AEHAW,Aesther Healthcare Acquisition Corp Warrants
141,AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par)
142,AEHR,Aehr Test Systems Common Stock
143,AEI,Alset EHome International Inc. Common Stock
144,AEIS,Advanced Energy Industries Inc. Common Stock
145,AEL,American Equity Investment Life Holding Company Common Stock
146,AEM,Agnico Eagle Mines Limited Common Stock
147,AEMD,Aethlon Medical Inc. Common Stock
148,AENZ,Aenza S.A.A. American Depositary Shares
149,AEO,American Eagle Outfitters Inc. Common Stock
150,AEP,American Electric Power Company Inc. Common Stock
151,AEPPZ,American Electric Power Company Inc. Corporate Units
152,AER,AerCap Holdings N.V. Ordinary Shares
153,AERC,AeroClean Technologies Inc. Common Stock
154,AERI,Aerie Pharmaceuticals Inc. Common Stock
155,AES,The AES Corporation Common Stock
156,AESC,The AES Corporation Corporate Units
157,AESE,Allied Esports Entertainment Inc. Common Stock
158,AEVA,Aeva Technologies Inc. Common Stock
159,AEY,ADDvantage Technologies Group Inc. Common Stock
160,AEYE,AudioEye Inc. Common Stock
161,AEZS,Aeterna Zentaris Inc. Common Stock
162,AFAQ,AF Acquisition Corp. Class A Common Stock
163,AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares
164,AFB,AllianceBernstein National Municipal Income Fund Inc
165,AFBI,Affinity Bancshares Inc. Common Stock (MD)
166,AFCG,AFC Gamma Inc. Common Stock
167,AFG,American Financial Group Inc. Common Stock
168,AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059
169,AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059
170,AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060
171,AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060
172,AFIB,Acutus Medical Inc. Common Stock
173,AFL,AFLAC Incorporated Common Stock
174,AFMD,Affimed N.V.
175,AFRI,Forafric Global PLC Ordinary Shares
176,AFRIW,Forafric Global PLC Warrants
177,AFRM,Affirm Holdings Inc. Class A Common Stock
178,AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
179,AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares
180,AFYA,Afya Limited Class A Common Shares
181,AG,First Majestic Silver Corp. Ordinary Shares (Canada)
182,AGAC,African Gold Acquisition Corporation Class A Ordinary Shares
183,AGBAR,AGBA Acquisition Limited Right
184,AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares
185,AGCO,AGCO Corporation Common Stock
186,AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest
187,AGE,AgeX Therapeutics Inc. Common Stock
188,AGEN,Agenus Inc. Common Stock
189,AGFS,AgroFresh Solutions Inc. Common Stock
190,AGFY,Agrify Corporation Common Stock
191,AGGR,Agile Growth Corp. Class A Ordinary Share
192,AGI,Alamos Gold Inc. Class A Common Shares
193,AGIL,AgileThought Inc. Class A Common Stock
194,AGILW,AgileThought Inc. Warrant
195,AGIO,Agios Pharmaceuticals Inc. Common Stock
196,AGL,agilon health inc. Common Stock
197,AGLE,Aeglea BioTherapeutics Inc. Common Stock
198,AGM,Federal Agricultural Mortgage Corporation Common Stock
199,AGMH,AGM Group Holdings Inc. Class A Ordinary Shares
200,AGNC,AGNC Investment Corp. Common Stock
201,AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
202,AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
203,AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
204,AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
205,AGO,Assured Guaranty Ltd. Common Stock
206,AGR,Avangrid Inc. Common Stock
207,AGRI,AgriFORCE  Growing Systems Ltd. Common Shares
208,AGRO,Adecoagro S.A. Common Shares
209,AGRX,Agile Therapeutics Inc. Common Stock
210,AGS,PlayAGS Inc. Common Stock
211,AGTC,Applied Genetic Technologies Corporation Common Stock
212,AGTI,Agiliti Inc. Common Stock
213,AGX,Argan Inc. Common Stock
214,AGYS,Agilysys Inc. Common Stock (DE)
215,AHCO,AdaptHealth Corp. Common Stock
216,AHG,Akso Health Group ADS
217,AHH,Armada Hoffler Properties Inc. Common Stock
218,AHI,Advanced Human Imaging Limited. American Depositary Shares
219,AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares
220,AHPI,Allied Healthcare Products Inc. Common Stock
221,AHRNW,Ahren Acquisition Corp. Warrants
222,AHT,Ashford Hospitality Trust Inc Common Stock
223,AI,C3.ai Inc. Class A Common Stock
224,AIB,AIB Acquisition Corporation Class A Ordinary Shares
225,AIC,Arlington Asset Investment Corp 6.750% Notes due 2025
226,AIF,Apollo Tactical Income Fund Inc. Common Stock
227,AIG,American International Group Inc. New Common Stock
228,AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares
229,AIHS,Senmiao Technology Limited Common Stock
230,AIKI,AIkido Pharma Inc. Common Stock
231,AIM,AIM ImmunoTech Inc. Common Stock
232,AIMAW,Aimfinity Investment Corp. I Warrant
233,AIMC,Altra Industrial Motion Corp. Common Stock
234,AIN,Albany International Corporation Common Stock
235,AINC,Ashford Inc. (Holding Company) Common Stock
236,AINV,Apollo Investment Corporation Common Stock
237,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest
238,AIP,Arteris Inc. Common Stock
239,AIR,AAR Corp. Common Stock
240,AIRC,Apartment Income REIT Corp. Common Stock
241,AIRG,Airgain Inc. Common Stock
242,AIRI,Air Industries Group Common Stock
243,AIRS,AirSculpt Technologies Inc. Common Stock
244,AIRT,Air T Inc. Common Stock
245,AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities
246,AIT,Applied Industrial Technologies Inc. Common Stock
247,AIU,Meta Data Limited ADS
248,AIV,Apartment Investment and Management Company Common Stock
249,AIZ,Assurant Inc. Common Stock
250,AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
251,AJG,Arthur J. Gallagher & Co. Common Stock
252,AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock
253,AJX,Great Ajax Corp. Common Stock
254,AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
255,AKA,a.k.a. Brands Holding Corp. Common Stock
256,AKAM,Akamai Technologies Inc. Common Stock
257,AKAN,Akanda Corp. Common Shares
258,AKBA,Akebia Therapeutics Inc. Common Stock
259,AKICU,Sports Ventures Acquisition Corp. Unit
260,AKR,Acadia Realty Trust Common Stock
261,AKRO,Akero Therapeutics Inc. Common Stock
262,AKTS,Akoustis Technologies Inc. Common Stock
263,AKTX,Akari Therapeutics plc ADS
264,AKU,Akumin Inc. Common Shares
265,AKUS,Akouos Inc. Common Stock
266,AKYA,Akoya BioSciences Inc. Common Stock
267,AL,Air Lease Corporation Class A Common Stock
268,ALB,Albemarle Corporation Common Stock
269,ALBO,Albireo Pharma Inc. Common Stock
270,ALC,Alcon Inc. Ordinary Shares
271,ALCC,AltC Acquisition Corp. Class A Common Stock
272,ALCO,Alico Inc. Common Stock
273,ALDX,Aldeyra Therapeutics Inc. Common Stock
274,ALE,Allete Inc.
275,ALEC,Alector Inc. Common Stock
276,ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
277,ALF,ALFI Inc. Common Stock
278,ALFIW,ALFI Inc. Warrant
279,ALG,Alamo Group Inc. Common Stock
280,ALGM,Allegro MicroSystems Inc. Common Stock
281,ALGN,Align Technology Inc. Common Stock
282,ALGS,Aligos Therapeutics Inc. Common Stock
283,ALGT,Allegiant Travel Company Common Stock
284,ALHC,Alignment Healthcare Inc. Common Stock
285,ALIM,Alimera Sciences Inc. Common Stock
286,ALIT,Alight Inc. Class A Common Stock
287,ALJJ,ALJ Regional Holdings Inc. Common Stock
288,ALK,Alaska Air Group Inc. Common Stock
289,ALKS,Alkermes plc Ordinary Shares
290,ALKT,Alkami Technology Inc. Common Stock
291,ALL,Allstate Corporation (The) Common Stock
292,ALLE,Allegion plc Ordinary Shares
293,ALLG,Allego N.V. Ordinary Share
294,ALLK,Allakos Inc. Common Stock
295,ALLO,Allogene Therapeutics Inc. Common Stock
296,ALLR,Allarity Therapeutics Inc. Common Stock
297,ALLT,Allot Ltd. Ordinary Shares
298,ALLY,Ally Financial Inc. Common Stock
299,ALNA,Allena Pharmaceuticals Inc. Common Stock
300,ALNY,Alnylam Pharmaceuticals Inc. Common Stock
301,ALORW,ALSP Orchid Acquisition Corporation I Warrant
302,ALOT,AstroNova Inc. Common Stock
303,ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock
304,ALPN,Alpine Immune Sciences Inc. Common Stock
305,ALPP,Alpine 4 Holdings Inc. Class A Common Stock
306,ALR,AlerisLife Inc. Common Stock
307,ALRM,Alarm.com Holdings Inc. Common Stock
308,ALRN,Aileron Therapeutics Inc. Common Stock
309,ALRS,Alerus Financial Corporation Common Stock
310,ALSA,Alpha Star Acquisition Corporation Ordinary Shares
311,ALSAR,Alpha Star Acquisition Corporation Rights
312,ALSAU,Alpha Star Acquisition Corporation Units
313,ALSAW,Alpha Star Acquisition Corporation Warrants
314,ALSN,Allison Transmission Holdings Inc. Common Stock
315,ALT,Altimmune Inc. Common Stock
316,ALTG,Alta Equipment Group Inc. Class A Common Stock
317,ALTO,Alto Ingredients Inc. Common Stock
318,ALTR,Altair Engineering Inc. Class A Common Stock
319,ALTU,Altitude Acquisition Corp. Class A Common Stock
320,ALTUU,Altitude Acquisition Corp. Unit
321,ALTUW,Altitude Acquisition Corp. Warrant
322,ALV,Autoliv Inc. Common Stock
323,ALVO,Alvotech Ordinary Shares
324,ALVR,AlloVir Inc. Common Stock
325,ALX,Alexander's Inc. Common Stock
326,ALXO,ALX Oncology Holdings Inc. Common Stock
327,ALYA,Alithya Group inc. Class A Subordinate Voting Shares
328,ALZN,Alzamend Neuro Inc. Common Stock
329,AM,Antero Midstream Corporation Common Stock
330,AMAL,Amalgamated Financial Corp. Common Stock (DE)
331,AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares)
332,AMAO,American Acquisition Opportunity Inc. Class A Common Stock
333,AMAOW,American Acquisition Opportunity Inc. Warrant
334,AMAT,Applied Materials Inc. Common Stock
335,AMBA,Ambarella Inc. Ordinary Shares
336,AMBC,Ambac Financial Group Inc. Common Stock
337,AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares
338,AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
339,AMC,AMC Entertainment Holdings Inc. Class A Common Stock
340,AMCI,AMCI Acquisition Corp. II Class A Common Stock
341,AMCR,Amcor plc Ordinary Shares
342,AMCX,AMC Networks Inc. Class A Common Stock
343,AMD,Advanced Micro Devices Inc. Common Stock
344,AME,AMETEK Inc.
345,AMED,Amedisys Inc Common Stock
346,AMEH,Apollo Medical Holdings Inc. Common Stock
347,AMG,Affiliated Managers Group Inc. Common Stock
348,AMGN,Amgen Inc. Common Stock
349,AMH,American Homes 4 Rent Common Shares of Beneficial Interest
350,AMK,AssetMark Financial Holdings Inc. Common Stock
351,AMKR,Amkor Technology Inc. Common Stock
352,AMLX,Amylyx Pharmaceuticals Inc. Common Stock
353,AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc
354,AMNB,American National Bankshares Inc. Common Stock
355,AMOT,Allied Motion Technologies Inc.
356,AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares
357,AMP,Ameriprise Financial Inc. Common Stock
358,AMPE,Ampio Pharmaceuticals Inc.
359,AMPG,Amplitech Group Inc. Common Stock
360,AMPH,Amphastar Pharmaceuticals Inc. Common Stock
361,AMPI,Advanced Merger Partners Inc. Class A Common Stock
362,AMPL,Amplitude Inc. Class A Common Stock
363,AMPS,Altus Power Inc. Class A Common Stock
364,AMPY,Amplify Energy Corp. Common Stock
365,AMR,Alpha Metallurgical Resources Inc. Common Stock
366,AMRC,Ameresco Inc. Class A Common Stock
367,AMRK,A-Mark Precious Metals Inc. Common Stock
368,AMRN,Amarin Corporation plc
369,AMRS,Amyris Inc. Common Stock
370,AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock
371,AMS,American Shared Hospital Services Common Stock
372,AMSC,American Superconductor Corporation Common Stock
373,AMSF,AMERISAFE Inc. Common Stock
374,AMST,Amesite Inc. Common Stock
375,AMSWA,American Software Inc. Class A Common Stock
376,AMT,American Tower Corporation (REIT) Common Stock
377,AMTB,Amerant Bancorp Inc. Class A Common Stock
378,AMTD,AMTD IDEA Group American Depositary Shares each representing one Class A Ordinary Share
379,AMTI,Applied Molecular Transport Inc. Common Stock
380,AMTX,Aemetis Inc. (DE) Common Stock
381,AMWD,American Woodmark Corporation Common Stock
382,AMWL,American Well Corporation Class A Common Stock
383,AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L
384,AMYT,Amryt Pharma plc American Depositary Shares
385,AMZN,Amazon.com Inc. Common Stock
386,AN,AutoNation Inc. Common Stock
387,ANAB,AnaptysBio Inc. Common Stock
388,ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares
389,ANDE,Andersons Inc. (The) Common Stock
390,ANEB,Anebulo Pharmaceuticals Inc. Common Stock
391,ANET,Arista Networks Inc. Common Stock
392,ANF,Abercrombie & Fitch Company Common Stock
393,ANGH,Anghami Inc. Ordinary Shares
394,ANGHW,Anghami Inc. Warrants
395,ANGI,Angi Inc. Class A Common Stock
396,ANGN,Angion Biomedica Corp. Common Stock
397,ANGO,AngioDynamics Inc. Common Stock
398,ANIK,Anika Therapeutics Inc. Common Stock
399,ANIP,ANI Pharmaceuticals Inc.
400,ANIX,Anixa Biosciences Inc. Common Stock
401,ANNX,Annexon Inc. Common Stock
402,ANPC,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares
403,ANSS,ANSYS Inc. Common Stock
404,ANTE,AirNet Technology Inc. American Depositary Shares
405,ANTX,AN2 Therapeutics Inc. Common Stock
406,ANVS,Annovis Bio Inc. Common Stock
407,ANY,Sphere 3D Corp. Common Shares
408,ANZU,Anzu Special Acquisition Corp I Class A Common Stock
409,ANZUW,Anzu Special Acquisition Corp I Warrant
410,AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest
411,AOGO,Arogo Capital Acquisition Corp. Class A Common Stock
412,AOMR,Angel Oak Mortgage Inc. Common Stock
413,AON,Aon plc Class A Ordinary Shares (Ireland)
414,AORT,Artivion Inc. Common Stock
415,AOS,A.O. Smith Corporation Common Stock
416,AOSL,Alpha and Omega Semiconductor Limited Common Shares
417,AOUT,American Outdoor Brands Inc. Common Stock 
418,AP,Ampco-Pittsburgh Corporation Common Stock
419,APA,APA Corporation Common Stock
420,APAC,StoneBridge Acquisition Corporation Class A Ordinary Shares
421,APACW,StoneBridge Acquisition Corporation Warrant
422,APAM,Artisan Partners Asset Management Inc. Class A Common Stock
423,APCX,AppTech Payments Corp. Common Stock
424,APD,Air Products and Chemicals Inc. Common Stock
425,APDN,Applied DNA Sciences Inc. Common Stock
426,APEI,American Public Education Inc. Common Stock
427,APEN,Apollo Endosurgery Inc. Common Stock
428,APG,APi Group Corporation Common Stock
429,APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares
430,APH,Amphenol Corporation Common Stock
431,API,Agora Inc. American Depositary Shares
432,APLD,Applied Blockchain Inc. Common Stock
433,APLE,Apple Hospitality REIT Inc. Common Shares
434,APLS,Apellis Pharmaceuticals Inc. Common Stock
435,APLT,Applied Therapeutics Inc. Common Stock
436,APM,Aptorum Group Limited Class A Ordinary Shares
437,APMIU,AxonPrime Infrastructure Acquisition Corporation Unit
438,APO,Apollo Global Management Inc. (New) Common Stock
439,APOG,Apogee Enterprises Inc. Common Stock
440,APP,Applovin Corporation Class A Common Stock
441,APPF,AppFolio Inc. Class A Common Stock
442,APPH,AppHarvest Inc. Common Stock
443,APPHW,AppHarvest Inc. Warrants
444,APPN,Appian Corporation Class A Common Stock
445,APPS,Digital Turbine Inc. Common Stock
446,APRE,Aprea Therapeutics Inc. Common stock
447,APRN,Blue Apron Holdings Inc. Class A Common Stock
448,APT,Alpha Pro Tech Ltd. Common Stock
449,APTM,Alpha Partners Technology Merger Corp. Class A Ordinary Shares
450,APTO,Aptose Biosciences Inc. Common Shares
451,APTV,Aptiv PLC Ordinary Shares
452,APTX,Aptinyx Inc. Common Stock
453,APVO,Aptevo Therapeutics Inc. Common Stock
454,APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda)
455,APXI,APx Acquisition Corp. I Class A Ordinary Share
456,APYX,Apyx Medical Corporation Common Stock
457,AQB,AquaBounty Technologies Inc. Common Stock
458,AQMS,Aqua Metals Inc. Common Stock
459,AQN,Algonquin Power & Utilities Corp. Common Shares
460,AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078
461,AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079
462,AQNU,Algonquin Power & Utilities Corp. Corporate Units
463,AQST,Aquestive Therapeutics Inc. Common Stock
464,AQUA,Evoqua Water Technologies Corp. Common Stock
465,AR,Antero Resources Corporation Common Stock
466,ARAV,Aravive Inc. Common Stock
467,ARAY,Accuray Incorporated Common Stock
468,ARBE,Arbe Robotics Ltd. Ordinary Shares
469,ARBEW,Arbe Robotics Ltd. Warrant
470,ARBK,Argo Blockchain plc American Depositary Shares
471,ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026
472,ARC,ARC Document Solutions Inc. Common Stock
473,ARCB,ArcBest Corporation Common Stock
474,ARCC,Ares Capital Corporation Common Stock
475,ARCE,Arco Platform Limited Class A Common Shares
476,ARCH,Arch Resources Inc. Class A Common Stock
477,ARCK,Arbor Rapha Capital Bioholdings Corp. I Class A Common Stock
478,ARCKW,Arbor Rapha Capital Bioholdings Corp. I Warrants
479,ARCO,Arcos Dorados Holdings Inc. Class A Shares
480,ARCT,Arcturus Therapeutics Holdings Inc. Common Stock
481,ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares
482,ARDS,Aridis Pharmaceuticals Inc. Common Stock
483,ARDX,Ardelyx Inc. Common Stock
484,ARE,Alexandria Real Estate Equities Inc. Common Stock
485,AREB,American Rebel Holdings Inc. Common Stock
486,AREC,American Resources Corporation Class A Common Stock
487,AREN,The Arena Group Holdings Inc. Common Stock
488,ARES,Ares Management Corporation Class A Common Stock
489,ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042
490,ARGO,Argo Group International Holdings Ltd.
491,ARGU,Argus Capital Corp. Class A Common Stock
492,ARGUU,Argus Capital Corp. Unit
493,ARGUW,Argus Capital Corp. Warrant
494,ARGX,argenx SE American Depositary Shares
495,ARHS,Arhaus Inc. Class A Common Stock
496,ARI,Apollo Commercial Real Estate Finance Inc
497,ARIS,Aris Water Solutions Inc. Class A Common Stock
498,ARIZW,Arisz Acquisition Corp. Warrant
499,ARKO,ARKO Corp. Common Stock
500,ARKOW,ARKO Corp. Warrant
501,ARKR,Ark Restaurants Corp. Common Stock
502,ARL,American Realty Investors Inc. Common Stock
503,ARLO,Arlo Technologies Inc. Common Stock
504,ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests
505,ARMK,Aramark Common Stock
506,ARMP,Armata Pharmaceuticals Inc. Common Stock
507,ARNC,Arconic Corporation Common Stock 
508,AROC,Archrock Inc. Common Stock
509,AROW,Arrow Financial Corporation Common Stock
510,ARQQ,Arqit Quantum Inc. Ordinary Shares
511,ARQQW,Arqit Quantum Inc. Warrants
512,ARQT,Arcutis Biotherapeutics Inc. Common Stock
513,ARR,ARMOUR Residential REIT Inc.
514,ARRWU,Arrowroot Acquisition Corp. Unit
515,ARRWW,Arrowroot Acquisition Corp. Warrant
516,ARRY,Array Technologies Inc. Common Stock
517,ARTE,Artemis Strategic Investment Corporation Class A Common Stock
518,ARTEW,Artemis Strategic Investment Corporation Warrant
519,ARTL,Artelo Biosciences Inc. Common Stock
520,ARTNA,Artesian Resources Corporation Class A Common Stock
